date,stock_id,AccountsPayable,AmortizationExpense,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsFromOperatingActivities,CashFlowsProvidedFromFinancingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,DecreaseInDepositDeposit,DecreaseInShortTermLoans,DeferredCredit,Depreciation,IncomeBeforeIncomeTaxFromContinuingOperations,InterestExpense,InterestIncome,InventoryIncrease,NetCashInflowFromOperatingActivities,NetIncomeBeforeTax,OtherInvestingActivities,OtherNonCurrentLiabilitiesDecrease,OtherNonCurrentLiabilitiesIncrease,PayTheInterest,ProceedsFromLongTermDebt,PropertyAndPlantAndEquipment,ReceivableIncrease,RedemptionOfBonds,RentalPrincipalRepayments,RepaymentOfLongTermDebt,TotalIncomeLossItems,UnrealizedGain
2025-06-30,1313,-807619000.0,70243000.0,4862588000.0,3209450000.0,-1653138000.0,58227000.0,-859880000.0,-468521000.0,88697000.0,57829000.0,-35331592000.0,5242000.0,881602000.0,-485988000.0,239030000.0,-33706000.0,-273618000.0,58227000.0,-485988000.0,,,,-214412000.0,43406869000.0,-358906000.0,691541000.0,,-6634000.0,-43588005000.0,1022415000.0,
2025-06-30,1316,-63241000.0,6756000.0,1631952000.0,1737721000.0,105769000.0,-556707000.0,1360369000.0,-694592000.0,-429909000.0,,-483880000.0,,50561000.0,610087000.0,86387000.0,-19084000.0,-531496000.0,-556707000.0,610087000.0,,,,-91510000.0,21767000.0,-46335000.0,-84350000.0,0.0,-14776000.0,-49075000.0,-355667000.0,
2025-06-30,1419,23442000.0,7012000.0,859291000.0,878463000.0,19172000.0,147451000.0,1205776000.0,-1303132000.0,246555000.0,0.0,0.0,,82119000.0,448386000.0,29066000.0,-8088000.0,-99800000.0,147451000.0,448386000.0,1712000.0,,,-27820000.0,273062000.0,-33879000.0,172414000.0,,-27111000.0,,-235009000.0,
2025-06-30,1504,-562485000.0,,26055287000.0,24277666000.0,-1777621000.0,1625046000.0,-1043534000.0,-274912000.0,2113298000.0,,-185255000.0,,1082442000.0,3560020000.0,184598000.0,-336035000.0,-309050000.0,1625046000.0,3560020000.0,,,,-118535000.0,46563000.0,-441539000.0,-372597000.0,-3000000000.0,-413972000.0,,249836000.0,
2025-06-30,1603,76669000.0,6743000.0,204286000.0,207192000.0,2906000.0,-631541000.0,653854000.0,-19407000.0,-562847000.0,,,,19836000.0,364323000.0,21798000.0,-7157000.0,-231545000.0,-631541000.0,364323000.0,,,,-22788000.0,,-52645000.0,-805997000.0,,-1512000.0,,33080000.0,
2025-06-30,1605,-453360000.0,605959000.0,10757417000.0,15259456000.0,4502039000.0,2216981000.0,11049195000.0,-6673500000.0,4747264000.0,138939000.0,-5119500000.0,,3726323000.0,1120791000.0,1299287000.0,-255905000.0,2251992000.0,2216981000.0,1120791000.0,-516455000.0,,,-1290271000.0,16648058000.0,-6156036000.0,-1017063000.0,0.0,-249843000.0,-6957793000.0,5195832000.0,
2025-06-30,2023,-120978000.0,24584000.0,8762028000.0,8630886000.0,-131142000.0,1010703000.0,-33232000.0,-1345371000.0,1996649000.0,,0.0,,1143339000.0,-2063173000.0,925152000.0,-78585000.0,1442811000.0,1010703000.0,-2063173000.0,,-2133000.0,,-964033000.0,9863980000.0,-638593000.0,189258000.0,,-6858000.0,-9215998000.0,3149285000.0,
2025-06-30,2033,-10498000.0,,65060000.0,72186000.0,7126000.0,20105000.0,-11734000.0,-1245000.0,23358000.0,,,,9985000.0,17783000.0,871000.0,-128000.0,19653000.0,20105000.0,17783000.0,,,,-886000.0,,-9697000.0,-15573000.0,,-274000.0,,11318000.0,
2025-06-30,2239,-1024605000.0,57156000.0,5243499000.0,5707506000.0,464007000.0,1579649000.0,-12525000.0,-164589000.0,1716076000.0,317411000.0,-861457000.0,,899658000.0,-354956000.0,139083000.0,-25491000.0,175516000.0,1579649000.0,-354956000.0,,,,-123952000.0,955365000.0,-870756000.0,1088071000.0,,-50146000.0,-949601000.0,1117389000.0,
2025-06-30,2241,18751000.0,2662000.0,71167000.0,90176000.0,19009000.0,22347000.0,-267338000.0,275628000.0,29515000.0,1291000.0,0.0,,50302000.0,-23054000.0,8024000.0,-606000.0,13206000.0,22347000.0,-23054000.0,,,0.0,-7774000.0,30000000.0,-26396000.0,-10473000.0,,-3916000.0,-334147000.0,-28370000.0,
